,,,,,,win,,,,,,,
,,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
,F1,/,,,,,,,,,,,
,F2,1556,/,,,,,,,,,,
,F3,1050,,/,,,,,,,,,
,F4,265,,,/,,,,,,,,
,F5,2506,,,,/,,,,,,,
win,F6,478,,,,,/,,,,,,
,F7,150,,,,,,/,,,,,
,F8,260,,,,,,,/,,,,
,F9,394,,,,,,,,/,,,
,F10,153,,,,,,,,,/,,
,F11,171,,,,,,,,,,/,
,F12,795,,,,,,,,,,,/
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,________,,,,,,,
,,,,,,__,,,,,,,
,,,,,,,,,,,,,
,deadlock,win,lose,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
,F1,/,,,,,,,,,,,
,F2,F2,/,,,,,,,,,,
,F3,F3,,/,,,,,,,,,
,F4,F4,,,/,,,,,,,,
,F5,F5,,,,/,,,,,,,
,F6,F6,,,,,/,,,,,,
,F7,F7,,,,,,/,,,,,
,F8,F8,,,,,,,/,,,,
,F9,F9,,,,,,,,/,,,
,F10,F10,,,,,,,,,/,,
,F11,F11,,,,,,,,,,/,
,F12,deadlock,,,,,,,,,,,/
